GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "00000","United States", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",13932319395,13560629165,13862567495,14331132474,14709774545,14682820263,15216230233,15896447748,16162029357,16658962000,17163073954,17727562029,18731605267,19641720292,19013960004,19404131656
 "00999","United States (Nonmetropolitan Portion)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",1865420181,1833165074,1838169631,1899469443,1913978059,1914904606,1950546934,1996030387,2001868636,2044178386,2045152484,2098359332,2271111223,2377449866,2296797552,2324519916
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",6979057,6920617,6896211,7185086,7233864,7461322,7685872,7591363,7381115,7472915,7929737,8280970,8987267,9280504,9070177,9418011
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",32754122,30868433,31784228,32136455,32049114,32189948,33194899,33935152,34254515,34954182,36048072,36642743,39117623,40845171,38955687,39358270
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5785996,5986308,5934760,6155056,6077324,5879558,5921363,6028870,5952606,6109889,6183785,6532499,7134200,7013231,6833045,6798679
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4015458,4002231,4215683,4277218,4303728,4289162,4434861,4722244,4893531,5088972,5156420,5321750,5783831,6136845,5832400,5960265
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",40212243,40838290,42625186,42754570,43759583,43110801,44900796,46487434,46799934,48895132,49779695,51109902,54675795,56343648,54861941,55489870
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",35089399,34406904,34898484,34471132,34448069,33950448,35254213,37168600,38330528,37914719,40207610,41510781,45275151,48061128,46524504,47260583
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",6702220,6925232,6696995,7040292,6949828,6777074,6814928,6933614,6836182,6892642,7230709,7249892,7949445,7965065,7720413,7684072
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",38308962,36707192,38017016,38879614,38662044,38196244,39621376,40784467,41590265,42023361,44241277,46143002,48554495,50516675,48238046,49069949
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5057651,5265108,5250946,5428643,5478255,5341401,5670916,5718285,5786627,5847892,5998360,6114981,6659894,6911652,6451313,6548916
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10605570,10592950,11214573,11514281,11595386,11589646,12000241,11958613,11820158,12241667,12859505,13310776,14112687,14851276,14457108,15012438
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5604477,5033281,4797772,5103743,5395679,5076479,5307758,5629189,5692040,5657491,5550715,5543279,5936447,6283653,6600394,6349573
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",19964951,19064481,21058839,21635003,21643720,21204990,22310117,22933772,21820278,21761760,22395737,22838216,23571437,23206308,23866764,23568171
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",16548250,15911062,17329517,17014749,17697811,17705364,17929061,19408909,20466362,21118256,21452487,21813035,22919168,23924463,23548020,24059315
