GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "00000","United States", ,MARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "00999","United States (Nonmetropolitan Portion)", ,MARPP,1,"...","RPPs: All items ","Index",86.540,86.898,88.713,88.536,88.719,88.967,88.869,88.661,87.890,87.616,89.245,89.363,88.309,88.830,88.532,88.222
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.141,89.362,92.924,92.455,94.061,92.484,94.554,92.854,93.274,93.778,92.299,92.414,90.300,91.698,91.498,89.849
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.516,95.218,93.260,94.064,95.495,95.242,94.981,95.596,95.343,95.359,94.251,94.697,93.516,93.513,92.128,92.827
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",86.450,85.598,87.231,87.701,87.383,88.070,88.432,88.002,89.286,87.291,86.489,84.164,83.820,89.335,86.109,86.405
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.418,100.044,96.995,96.246,96.604,96.850,98.775,98.770,98.926,98.937,103.270,102.987,102.699,101.924,104.629,104.609
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",102.702,102.243,99.947,100.752,99.537,101.729,99.398,100.813,101.234,100.700,99.785,99.409,98.968,98.923,96.510,97.583
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",96.951,99.030,97.411,100.439,99.593,98.316,98.456,96.757,96.592,98.087,93.886,95.085,94.170,92.207,93.359,92.958
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",89.656,86.149,89.013,86.975,90.287,91.513,90.759,90.269,92.124,90.539,87.470,89.098,87.274,89.334,86.001,86.218
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",101.139,102.531,101.219,99.933,99.972,100.841,99.599,101.021,101.174,101.735,99.159,99.120,99.675,98.029,97.987,98.441
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",93.979,91.858,93.855,93.538,92.315,92.814,89.389,92.580,91.550,91.208,91.313,90.689,89.698,89.177,88.962,88.250
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",95.758,93.480,94.908,96.365,96.146,96.434,96.303,96.972,97.180,96.153,93.249,94.144,94.486,93.505,91.511,90.812
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",82.432,90.016,92.962,91.743,92.370,94.601,93.047,90.133,88.865,89.858,93.941,95.933,93.104,91.480,88.390,91.418
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",106.497,111.877,106.339,106.800,107.244,106.488,104.878,105.709,108.069,107.790,106.421,104.796,103.209,106.648,103.071,104.547
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",103.617,101.281,101.112,100.370,100.911,100.181,102.545,100.189,98.313,98.476,99.227,100.666,98.551,99.479,97.895,97.968
