GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01998","Alabama (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",81.156,80.040,83.004,85.665,87.577,88.412,89.280,89.018,90.937,92.110,90.516,92.766,93.388,97.385,104.024,110.172
 "01999","Alabama (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",72.694,71.257,75.113,76.398,78.931,79.827,81.624,81.197,82.269,83.089,84.275,86.427,85.088,90.693,95.133,101.534
 "02998","Alaska (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator ","Index",94.661,97.845,95.551,98.403,99.709,100.418,101.159,101.904,104.872,106.995,108.228,108.155,107.285,115.793,118.818,124.870
 "02999","Alaska (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator ","Index",88.401,87.390,89.039,90.867,90.995,91.976,95.717,97.415,96.256,100.046,103.176,103.140,103.368,110.674,117.560,117.140
 "04998","Arizona (Metropolitan Portion)",6,PAIRPD,1,"...","Implicit regional price deflator ","Index",91.972,92.105,91.558,92.473,93.222,94.761,95.628,95.639,97.451,98.368,99.973,101.919,104.639,105.964,116.977,122.862
 "04999","Arizona (Nonmetropolitan Portion)",6,PAIRPD,1,"...","Implicit regional price deflator ","Index",80.246,79.197,80.992,81.796,80.302,82.773,82.684,84.722,83.399,85.414,83.163,83.261,83.992,87.435,92.730,96.211
 "05998","Arkansas (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",81.199,79.591,82.603,85.320,87.052,88.179,89.092,89.148,90.730,91.383,90.805,92.804,94.346,98.935,102.943,106.551
 "05999","Arkansas (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",74.153,72.200,75.914,78.822,80.003,81.214,82.721,81.915,82.205,83.429,85.181,87.032,87.857,92.560,96.409,99.013
 "06998","California (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator ","Index",99.317,98.567,99.453,101.776,103.905,105.242,107.001,107.855,108.226,111.125,114.482,115.211,117.398,122.141,130.913,135.890
 "06999","California (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator ","Index",91.075,89.610,90.565,93.456,92.307,94.320,94.078,97.907,96.067,101.255,103.481,105.742,104.201,109.828,119.919,123.618
 "08998","Colorado (Metropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator ","Index",92.341,91.313,91.609,96.509,98.535,99.288,100.693,100.752,101.622,103.514,103.021,106.809,109.868,113.349,119.788,123.033
 "08999","Colorado (Nonmetropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator ","Index",90.572,88.988,87.274,92.263,90.344,94.923,95.799,96.819,95.738,98.568,96.871,100.839,99.247,102.409,111.132,115.968
 "09998","Connecticut (Metropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator ","Index",98.676,98.746,97.199,100.280,101.961,103.448,104.159,104.909,105.897,107.333,106.283,107.718,110.116,112.286,123.531,125.186
 "09999","Connecticut (Nonmetropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator ","Index",95.360,95.137,90.914,97.317,96.342,98.128,99.731,101.196,101.923,104.423,104.407,105.368,107.137,107.819,119.983,120.701
 "10998","Delaware (Metropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator ","Index",89.906,90.811,91.913,93.168,94.090,94.431,96.834,95.300,96.809,98.564,101.292,102.290,101.273,106.181,113.764,119.591
 "10999","Delaware (Nonmetropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator ","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "11998","District of Columbia (Metropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator ","Index",100.214,100.518,103.356,105.892,105.590,108.793,111.001,110.324,110.545,110.087,113.792,113.058,116.041,121.598,130.806,133.509
 "11999","District of Columbia (Nonmetropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator ","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "12998","Florida (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",90.987,89.697,91.110,93.860,95.817,96.708,98.200,98.816,99.586,101.182,102.597,103.365,105.593,110.738,119.011,124.970
 "12999","Florida (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",80.381,78.328,82.208,84.496,85.880,88.078,89.243,88.461,89.702,90.126,94.184,95.211,93.974,101.448,107.877,112.606
 "13998","Georgia (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",85.666,83.134,87.098,88.411,91.779,92.399,93.785,93.652,94.926,97.175,98.248,99.258,100.572,105.787,112.658,118.487
 "13999","Georgia (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",74.342,73.129,77.081,78.539,80.697,82.009,83.143,83.494,83.626,84.648,88.028,88.389,88.723,95.430,101.965,104.851
 "15998","Hawaii (Metropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator ","Index",99.148,102.293,100.424,103.764,104.906,109.561,109.514,110.230,109.789,112.236,114.468,116.588,120.361,123.809,130.493,132.147
 "15999","Hawaii (Nonmetropolitan Portion)",8,PAIRPD,1,"...","Implicit regional price deflator ","Index",92.024,90.408,92.307,93.263,90.961,98.251,97.910,100.128,99.773,102.303,107.382,111.792,109.690,117.173,122.088,125.142
 "16998","Idaho (Metropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator ","Index",84.844,85.079,85.004,88.111,89.612,90.940,91.324,92.345,91.995,95.444,94.397,96.813,96.583,100.948,107.830,111.645
 "16999","Idaho (Nonmetropolitan Portion)",7,PAIRPD,1,"...","Implicit regional price deflator ","Index",84.302,82.620,82.819,85.588,85.228,86.720,90.108,90.149,89.732,92.075,91.200,92.545,91.656,96.773,102.930,105.685
 "17998","Illinois (Metropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator ","Index",91.560,92.214,93.676,96.502,97.029,97.618,98.269,97.737,99.638,102.234,103.775,104.197,106.603,112.101,119.440,120.795
 "17999","Illinois (Nonmetropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator ","Index",72.328,74.903,79.093,80.187,82.645,82.674,84.603,83.829,83.006,84.347,89.976,91.676,90.597,95.148,100.593,103.515
 "18998","Indiana (Metropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator ","Index",84.630,84.317,85.654,87.232,88.992,90.564,91.295,90.429,91.593,92.517,95.692,97.133,97.047,102.147,108.006,112.496
 "18999","Indiana (Nonmetropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator ","Index",73.409,75.693,79.329,80.735,83.099,83.423,85.486,83.776,83.519,84.890,90.547,92.045,92.000,95.958,101.417,105.333
 "19998","Iowa (Metropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator ","Index",83.147,83.913,85.384,86.388,88.855,89.882,91.553,90.468,91.183,92.419,95.720,97.452,97.040,100.170,104.967,109.668
 "19999","Iowa (Nonmetropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator ","Index",71.086,74.221,78.520,79.262,81.517,83.025,83.648,82.377,83.191,84.354,90.494,91.044,91.204,93.796,98.669,102.388
 "20998","Kansas (Metropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator ","Index",83.778,84.607,86.443,88.604,90.505,91.333,92.928,93.249,93.675,94.540,96.022,97.831,98.308,101.313,106.104,110.573
 "20999","Kansas (Nonmetropolitan Portion)",4,PAIRPD,1,"...","Implicit regional price deflator ","Index",72.260,74.918,79.019,80.376,82.732,82.673,84.704,83.533,82.839,84.163,90.129,91.335,91.924,94.394,98.763,102.412
 "21998","Kentucky (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",83.140,81.832,84.552,86.828,88.749,89.957,91.175,90.940,92.052,93.153,92.935,94.696,95.771,99.720,106.571,111.849
 "21999","Kentucky (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",75.126,73.778,77.559,79.181,80.708,82.064,83.817,83.665,84.010,84.386,87.336,89.216,88.465,92.748,98.658,104.026
 "22998","Louisiana (Metropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",82.869,81.378,84.497,87.300,89.150,90.248,91.877,91.522,93.324,93.765,93.581,95.352,96.613,100.415,105.947,107.493
 "22999","Louisiana (Nonmetropolitan Portion)",5,PAIRPD,1,"...","Implicit regional price deflator ","Index",74.786,73.907,77.578,79.312,80.251,81.561,83.604,83.231,84.047,84.447,86.736,88.295,88.102,94.345,99.321,99.919
 "23998","Maine (Metropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator ","Index",89.766,90.238,90.642,90.921,94.751,97.340,91.294,95.893,98.597,100.326,102.463,100.711,106.217,109.246,119.787,122.020
 "23999","Maine (Nonmetropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator ","Index",85.131,84.489,85.137,86.842,86.810,89.446,87.760,89.370,90.778,93.166,94.934,96.019,96.345,100.875,112.021,108.782
 "24998","Maryland (Metropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator ","Index",97.441,98.795,98.534,101.913,101.935,104.321,105.160,105.442,105.825,107.168,108.895,109.146,111.717,116.029,122.159,125.626
 "24999","Maryland (Nonmetropolitan Portion)",2,PAIRPD,1,"...","Implicit regional price deflator ","Index",83.894,81.254,84.379,85.772,87.775,90.405,91.896,90.121,90.736,91.669,95.500,96.255,96.013,101.318,109.270,111.885
 "25998","Massachusetts (Metropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator ","Index",94.738,93.788,94.785,97.247,98.735,98.951,101.523,102.105,106.328,107.243,109.485,110.931,114.176,116.379,127.077,130.406
 "25999","Massachusetts (Nonmetropolitan Portion)",1,PAIRPD,1,"...","Implicit regional price deflator ","Index",92.225,95.090,93.277,90.634,98.653,100.168,102.037,103.644,106.625,110.207,104.751,109.865,111.759,105.668,125.497,132.249
 "26998","Michigan (Metropolitan Portion)",3,PAIRPD,1,"...","Implicit regional price deflator ","Index",88.051,87.320,88.407,89.777,91.178,92.815,94.327,92.637,93.494,94.214,97.634,100.062,100.492,103.880,110.107,115.451
