GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "00000","United States", ,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",13932319395,13560629165,13862567495,14331132474,14709774545,14682820263,15216230233,15896447748,16162029357,16658962000,17163073954,17727562029,18731605267,19641720292,19013960004,19404131656
 "01998","Alabama (Metropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",152578966,152293472,153049597,154584736,155222273,154759983,158723118,166446252,166712460,171230055,181381130,185425766,197837858,209289240,201483712,201936941
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",46958607,47748182,47009521,46798410,46191787,46531227,46631090,48883754,48298499,49076116,49828328,50469827,54825410,56962720,55652917,53856563
 "02998","Alaska (Metropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",24643266,23879925,26026597,26916698,27118599,26437689,27527192,28326161,27100719,26892533,27587583,28114362,29098937,28654110,29459143,29051806
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10826898,11081015,11867301,12601352,13214844,13125670,13435386,13487720,13469592,13252492,13346718,13720750,13789224,13645752,13322324,13904550
 "04998","Arizona (Metropolitan Portion)",6,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",233546546,220901590,226355909,235644524,243711473,245382002,255117356,269301736,276670269,291434686,304355886,319543443,345127176,377291656,358257576,365178553
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11158871,11576408,11542239,11854550,12012986,11902262,12274551,12350702,12902686,13327022,14367526,14810630,16625065,17619792,16990339,17155464
 "05998","Arkansas (Metropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",75462715,75938921,75669068,78994697,83736104,82196183,86961320,91006451,92672083,95179999,100369338,99758846,106022390,114962964,117507379,120216281
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",42166430,42520066,41868009,42156238,42871430,42952832,43367262,43632339,43756778,44566006,44777984,44934643,48229575,50370987,49540415,49354584
 "06998","California (Metropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",1572528114,1535848280,1591425472,1656400814,1719907585,1722017736,1800053228,1916237568,1996427314,2037508916,2077851272,2174750297,2328281359,2430597007,2262079487,2296208290
 "06999","California (Nonmetropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",31121846,31793759,33165055,32779697,33404063,33132298,34780491,35324196,37301531,36598035,36829559,37689158,42086203,42718078,38281880,39233035
 "08998","Colorado (Metropolitan Portion)",7,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",199234928,192335244,198475002,204998820,212224876,220891133,236185223,245554927,247038265,260692474,283418794,293336984,304501714,328117895,332930235,340121055
 "08999","Colorado (Nonmetropolitan Portion)",7,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",29073008,27945704,28171958,28642160,30244875,30399964,32416317,33946726,34810766,34828700,38118771,38625757,41117154,44580302,44591974,45311234
 "09998","Connecticut (Metropolitan Portion)",1,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",208012540,205906207,216851069,216228833,215122110,206944654,214273605,218412670,220584660,222936090,235284576,237820732,238686361,250237860,236986895,247849807
 "09999","Connecticut (Nonmetropolitan Portion)",1,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10117960,9728574,10341778,10142081,10575274,10268847,10293115,10415600,10499573,10378868,10673932,11374022,11978526,13215557,11932155,12716779
 "10998","Delaware (Metropolitan Portion)",2,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",40603610,40380914,40303508,42751617,42716589,43139023,43879189,46922908,47558239,48909033,50620264,51708045,54515954,56547550,57384252,57730260
 "10999","Delaware (Nonmetropolitan Portion)",2,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
