GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "00000","United States", ,PARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01998","Alabama (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",91.013,90.013,91.703,92.308,92.641,92.307,91.927,91.489,92.524,92.110,88.700,89.621,89.246,89.367,89.590,91.436
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",81.523,80.135,82.985,82.322,83.494,83.344,84.043,83.451,83.705,83.089,82.585,83.497,81.314,83.226,81.933,84.267
 "02998","Alaska (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",106.158,110.036,105.565,106.034,105.474,104.842,104.158,104.733,106.703,106.995,106.057,104.489,102.526,106.259,102.332,103.634
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",99.138,98.278,98.371,97.913,96.256,96.028,98.555,100.119,97.936,100.046,101.106,99.644,98.783,101.561,101.248,97.218
 "04998","Arizona (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",103.143,103.580,101.154,99.644,98.612,98.936,98.462,98.294,99.153,98.368,97.967,98.465,99.998,97.239,100.746,101.967
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",89.993,89.064,89.481,88.138,84.945,86.419,85.135,87.074,84.855,85.414,81.495,80.439,80.267,80.236,79.863,79.849
 "05998","Arkansas (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",91.061,89.508,91.261,91.936,92.085,92.064,91.733,91.622,92.314,91.383,88.983,89.658,90.162,90.789,88.660,88.431
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",83.159,81.195,83.870,84.934,84.629,84.792,85.174,84.189,83.640,83.429,83.473,84.082,83.960,84.940,83.032,82.174
 "06998","California (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",111.379,110.847,109.877,109.668,109.912,109.878,110.173,110.849,110.115,111.125,112.186,111.305,112.191,112.085,112.748,112.780
 "06999","California (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",102.137,100.775,100.057,100.703,97.644,98.475,96.867,100.624,97.744,101.255,101.405,102.157,99.579,100.786,103.280,102.595
 "08998","Colorado (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",103.557,102.690,101.210,103.993,104.233,103.662,103.678,103.549,103.396,103.514,100.954,103.188,104.995,104.017,103.167,102.109
 "08999","Colorado (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",101.573,100.076,96.421,99.417,95.567,99.105,98.639,99.506,97.409,98.568,94.928,97.421,94.846,93.978,95.712,96.246
