GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01000","Alabama",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.229,78.006,81.174,83.482,85.568,86.464,87.542,87.284,89.026,90.098,89.177,91.395,91.624,95.974,102.185,108.406
 "02000","Alaska",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.669,94.455,93.395,95.893,96.989,97.772,99.463,100.540,102.289,104.864,106.692,106.654,106.054,114.211,118.458,122.557
 "04000","Arizona",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",91.400,91.452,91.010,91.950,92.685,94.263,95.114,95.228,96.897,97.873,99.337,101.203,103.811,105.271,116.068,121.823
 "05000","Arkansas",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.528,76.765,80.097,82.906,84.470,85.671,86.784,86.577,87.743,88.607,88.941,90.820,92.260,96.890,100.894,104.235
 "06000","California",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",99.145,98.372,99.262,101.594,103.656,105.012,106.723,107.656,107.981,110.925,114.264,115.031,117.136,121.905,130.701,135.651
 "08000","Colorado",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.114,91.012,91.051,95.950,97.514,98.767,100.108,100.300,100.950,102.957,102.343,106.095,108.581,112.040,118.731,122.157
 "09000","Connecticut",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",98.502,98.550,96.853,100.107,101.664,103.158,103.929,104.705,105.676,107.180,106.187,107.588,109.968,112.054,123.340,124.936
 "10000","Delaware",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.906,90.811,91.913,93.168,94.090,94.431,96.834,95.300,96.809,98.564,101.292,102.290,101.273,106.181,113.764,119.591
 "11000","District of Columbia",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",100.214,100.518,103.356,105.892,105.590,108.793,111.001,110.324,110.545,110.087,113.792,113.058,116.041,121.598,130.806,133.509
 "12000","Florida",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",90.647,89.329,90.814,93.561,95.523,96.468,97.953,98.521,99.321,100.871,102.369,103.143,105.279,110.496,118.726,124.651
 "13000","Georgia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",83.997,81.627,85.501,86.881,90.037,90.788,92.171,92.110,93.303,95.292,96.760,97.707,98.861,104.353,111.147,116.513
 "15000","Hawaii",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",97.858,100.108,99.017,101.963,102.447,107.560,107.408,108.503,107.995,110.447,113.099,115.703,118.505,122.608,128.992,130.864
 "16000","Idaho",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.688,84.348,84.363,87.355,88.381,89.727,91.004,91.761,91.402,94.544,93.580,95.689,95.243,99.845,106.579,110.160
 "17000","Illinois",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.382,90.273,92.093,94.657,95.462,96.008,96.816,96.260,97.828,100.280,102.377,102.956,104.998,110.420,117.551,119.112
 "18000","Indiana",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",82.005,82.317,84.244,85.785,87.713,89.005,90.027,89.012,89.855,90.884,94.636,96.084,96.025,100.872,106.687,111.073
 "19000","Iowa",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",77.930,79.830,82.565,83.437,85.878,87.103,88.448,87.211,88.023,89.257,93.721,95.035,94.812,97.812,102.591,106.956
 "20000","Kansas",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",80.133,81.642,84.171,86.109,88.213,88.721,90.506,90.365,90.551,91.563,94.402,96.019,96.546,99.434,104.123,108.400
 "21000","Kentucky",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",80.077,78.688,81.786,83.906,85.692,87.012,88.404,88.249,89.093,90.031,90.898,92.735,93.219,97.264,103.793,109.006
 "22000","Louisiana",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.534,80.157,83.391,86.020,87.801,88.969,90.685,90.303,91.975,92.392,92.627,94.354,95.382,99.588,105.040,106.448
 "23000","Maine",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",87.914,87.926,88.421,89.296,91.709,94.241,89.965,93.392,95.648,97.608,99.682,98.973,102.429,106.050,116.921,116.993
 "24000","Maryland",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",97.042,98.247,98.146,101.457,101.539,103.963,104.802,105.029,105.422,106.743,108.532,108.774,111.323,115.641,121.835,125.269
 "25000","Massachusetts",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",94.725,93.796,94.776,97.206,98.735,98.957,101.526,102.114,106.329,107.258,109.460,110.925,114.161,116.307,127.066,130.418
 "26000","Michigan",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",85.476,85.403,87.070,88.357,89.826,91.214,92.736,91.194,92.025,92.704,96.391,98.701,98.807,102.710,108.690,113.483
 "27000","Minnesota",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",86.278,87.719,88.333,90.267,92.068,93.374,95.507,95.074,95.604,96.765,101.615,102.215,102.286,107.150,113.167,118.584
 "28000","Mississippi",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.503,76.105,79.849,82.440,83.682,85.095,86.360,85.850,86.951,87.808,87.929,89.557,89.552,93.965,101.395,105.179
 "29000","Missouri",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.887,80.450,84.290,85.864,87.403,88.920,90.685,89.803,90.130,91.718,93.671,95.769,96.435,100.258,105.708,110.566
 "30000","Montana",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",83.920,82.891,83.687,87.469,88.112,88.962,92.432,92.444,92.256,94.244,94.262,97.557,96.241,99.601,104.690,108.736
 "31000","Nebraska",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.904,80.623,83.390,84.863,87.278,88.000,89.195,88.791,89.310,89.833,93.760,95.789,97.117,100.192,104.354,108.895
 "32000","Nevada",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",90.252,91.626,91.204,94.857,96.042,95.604,96.305,95.925,95.505,99.827,98.167,102.316,101.699,103.973,111.843,116.852
 "33000","New Hampshire",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",94.762,93.573,94.192,96.064,97.310,98.500,99.203,101.149,103.340,105.765,105.650,107.669,110.156,111.767,125.177,126.931
 "34000","New Jersey",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",95.914,98.813,98.540,101.413,103.439,104.474,106.012,106.046,107.239,109.323,113.352,115.085,115.850,118.987,126.291,131.194
 "35000","New Mexico",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.813,85.332,85.540,90.101,91.209,91.528,92.721,92.837,92.831,95.720,93.501,96.243,96.068,97.895,105.558,108.907
 "36000","New York",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",99.384,98.884,99.684,102.992,103.735,105.159,105.817,106.704,108.248,109.945,111.830,113.257,115.228,119.419,124.903,129.680
 "37000","North Carolina",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",82.400,81.108,84.008,86.791,88.362,89.730,91.088,91.025,92.162,93.056,94.818,95.095,95.584,102.172,109.141,113.429
 "38000","North Dakota",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",76.637,78.143,80.716,83.192,87.036,88.452,89.911,88.715,90.134,88.706,93.079,96.473,96.075,99.098,103.015,106.722
 "39000","Ohio",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",82.527,83.157,84.318,85.598,87.952,89.349,90.385,89.777,90.822,91.938,94.835,96.557,96.199,100.482,106.257,110.625
 "40000","Oklahoma",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.802,78.613,81.875,84.331,86.195,87.605,89.137,88.860,89.910,90.916,91.494,92.463,93.794,97.964,103.096,106.377
 "41000","Oregon",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",87.328,89.127,89.867,92.593,95.585,95.921,96.875,98.412,97.886,101.486,106.849,107.459,108.037,112.394,123.768,126.179
 "42000","Pennsylvania",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",88.485,88.563,89.671,91.387,92.667,93.729,94.450,95.553,96.137,99.123,100.142,101.395,102.221,104.733,111.659,117.478
 "44000","Rhode Island",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.607,92.739,92.424,94.014,94.472,97.256,97.545,99.416,99.980,102.476,104.166,106.000,106.490,111.311,121.215,122.192
 "45000","South Carolina",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.971,80.887,83.812,86.440,88.257,89.323,90.515,90.769,92.003,92.868,94.150,94.704,95.092,102.038,108.363,112.270
 "46000","South Dakota",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",75.833,76.534,80.433,81.037,85.440,86.456,86.873,85.516,85.887,87.275,93.121,95.055,95.564,98.172,102.036,106.146
 "47000","Tennessee",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.735,80.429,83.516,86.158,88.259,89.022,90.077,90.271,92.172,93.074,91.495,94.457,94.699,98.724,106.586,111.473
 "48000","Texas",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",86.474,85.945,88.333,89.950,92.309,93.911,95.532,95.570,96.343,97.372,99.746,101.959,103.358,107.232,113.146,117.087
 "49000","Utah",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",86.472,88.953,88.062,92.641,93.988,94.416,95.114,95.018,95.416,98.708,97.942,100.671,99.683,103.058,109.809,114.470
 "50000","Vermont",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.959,90.436,90.164,92.110,94.581,96.257,95.252,97.454,96.645,100.398,102.291,103.111,106.872,107.513,117.260,116.437
 "51000","Virginia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",91.974,91.021,93.760,95.939,96.870,99.147,100.477,100.793,101.041,101.267,104.106,103.566,105.698,111.510,118.492,121.393
 "53000","Washington",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",93.194,93.029,92.874,95.778,96.906,98.127,100.871,101.526,103.744,107.451,109.317,111.767,112.875,118.511,127.751,130.807
 "54000","West Virginia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.114,77.018,80.402,82.818,84.388,86.394,87.248,88.090,88.255,89.026,91.258,91.627,91.386,99.167,103.519,108.167
 "55000","Wisconsin",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",83.174,83.785,85.859,87.025,89.198,89.949,91.131,90.794,91.634,93.540,95.874,97.787,96.966,101.663,107.304,112.174
 "56000","Wyoming",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.988,85.932,86.433,90.612,91.021,93.242,94.619,94.353,96.070,97.185,94.236,97.423,96.093,99.745,106.544,109.464
"Note: See the included footnote file."
"SAIRPD: Implicit regional price deflators by state "
"Last updated: December 12, 2024-- new statistics for 2023; revised statistics for 2019-2022."
"U.S. Bureau of Economic Analysis"
